sample	strainID	count	count_correct	f	f_correct
Cont_p2_1C	HAMBI_0403	3	2	0.0229007633587786	0.0151515151515152
Cont_p2_1C	HAMBI_1279	8	3	0.0610687022900763	0.0227272727272727
Cont_p2_1C	HAMBI_1287	14	35	0.106870229007634	0.265151515151515
Cont_p2_1C	HAMBI_1292	10	25	0.0763358778625954	0.189393939393939
Cont_p2_1C	HAMBI_1299	1	16	0.00763358778625954	0.121212121212121
Cont_p2_1C	HAMBI_1842	0	0	0	0
Cont_p2_1C	HAMBI_1896	0	0	0	0
Cont_p2_1C	HAMBI_1972	44	34	0.33587786259542	0.257575757575758
Cont_p2_1C	HAMBI_1977	4	2	0.0305343511450382	0.0151515151515152
Cont_p2_1C	HAMBI_1988	0	0	0	0
Cont_p2_1C	HAMBI_2159	2	2	0.0152671755725191	0.0151515151515152
Cont_p2_1C	HAMBI_2160	1	1	0.00763358778625954	0.00757575757575758
Cont_p2_1C	HAMBI_2164	7	4	0.0534351145038168	0.0303030303030303
Cont_p2_1C	HAMBI_2443	0	0	0	0
Cont_p2_1C	HAMBI_2494	0	0	0	0
Cont_p2_1C	HAMBI_2659	18	3	0.137404580152672	0.0227272727272727
Cont_p2_1C	HAMBI_2792	0	0	0	0
Cont_p2_1C	HAMBI_3031	1	0	0.00763358778625954	0
Cont_p2_1C	HAMBI_3237	0	0	0	0
ANC_p1_1A	HAMBI_0006	105	27	0.0339695891297315	0.00873503720478809
ANC_p1_1A	HAMBI_0097	222	273	0.0718214170171466	0.0883209317373018
ANC_p1_1A	HAMBI_0105	4	499	0.00129407958589453	0.161436428340343
ANC_p1_1A	HAMBI_0262	99	2	0.0320284697508897	0.000647039792947266
ANC_p1_1A	HAMBI_0403	84	96	0.0271756713037852	0.0310579100614688
ANC_p1_1A	HAMBI_1279	89	68	0.0287932707861534	0.0219993529602071
ANC_p1_1A	HAMBI_1287	41	186	0.013264315755419	0.0601747007440958
ANC_p1_1A	HAMBI_1292	35	157	0.0113231963765772	0.0507926237463604
ANC_p1_1A	HAMBI_1299	6	170	0.0019411193788418	0.0549983824005176
ANC_p1_1A	HAMBI_1842	176	82	0.0569395017793594	0.0265286315108379
ANC_p1_1A	HAMBI_1896	21	34	0.0067939178259463	0.0109996764801035
ANC_p1_1A	HAMBI_1972	17	24	0.00549983824005176	0.0077644775153672
ANC_p1_1A	HAMBI_1977	32	36	0.0103526366871563	0.0116467162730508
ANC_p1_1A	HAMBI_1988	126	103	0.0407635069556778	0.0333225493367842
ANC_p1_1A	HAMBI_2159	72	111	0.0232934325461016	0.0359107085085733
ANC_p1_1A	HAMBI_2160	89	102	0.0287932707861534	0.0329990294403106
ANC_p1_1A	HAMBI_2164	335	355	0.108379165318667	0.11484956324814
ANC_p1_1A	HAMBI_2443	7	235	0.00226463927531543	0.0760271756713038
ANC_p1_1A	HAMBI_2494	26	50	0.00841151730831446	0.0161759948236817
ANC_p1_1A	HAMBI_2659	1356	391	0.438692979618247	0.126496279521191
