AB	Pop	Species	Replicate	k	auc_e
1.353278969	ANC	1977	2	0.429622251	933.905
0.60145732	ANC	1977	2	0.406117716	889.665
0.267314364	ANC	1977	2	0.484046941	1054.52
2000	ANC	2164	2	0.001238236	3.335
888.8888889	ANC	2164	2	0.00645404	9.785
395.0617284	ANC	2164	2	0.002053837	45477
175.5829904	ANC	2164	2	0.005808499	14.26
78.03688462	ANC	2164	2	3039.621016	24.56
34.68305983	ANC	2164	2	0.003792495	8.245
15.41469326	ANC	2164	2	0.009437806	21.035
6.850974782	ANC	2164	2	0.019696696	42.985
3.044877681	ANC	2164	2	0.314678992	162.345
1.353278969	ANC	2164	2	0.216806935	376.62
0.60145732	ANC	2164	2	0.31999368	619.9
0.267314364	ANC	2164	2	0.263663954	492.61
2000	ANC	2792	2	0.002584545	3.255
888.8888889	ANC	2792	2	0.004503247	9.855
395.0617284	ANC	2792	2	0.003045269	6.375
175.5829904	ANC	2792	2	0.004872636	11.525
78.03688462	ANC	2792	2	0.010386008	26.255
34.68305983	ANC	2792	2	0.004258374	22494
15.41469326	ANC	2792	2	0.007595131	45551
6.850974782	ANC	2792	2	0.010793288	26.71
3.044877681	ANC	2792	2	0.005050875	17472
1.353278969	ANC	2792	2	0.016930033	39.845
0.60145732	ANC	2792	2	0.013969898	31.325
0.267314364	ANC	2792	2	0.018904317	36.765
1333.333333	ANC	403	2	809.6361997	46113
592.5925926	ANC	403	2	0.006628019	45395
263.3744856	ANC	403	2	0.181800706	313.165
117.0553269	ANC	403	2	0.208068175	423.645
52.02458975	ANC	403	2	0.192913558	411.66
23.12203989	ANC	403	2	0.197497803	426.86
10.27646217	ANC	403	2	0.206098004	450.315
4.567316521	ANC	403	2	0.198110504	436.835
2.029918454	ANC	403	2	0.188811591	418.71
0.90218598	ANC	403	2	0.206944024	458.48
0.400971546	ANC	403	2	0.197689342	437.08
0	ANC	403	2	0.195594972	442.105
1333.333333	ANC	1299	2	8955.664776	24898
592.5925926	ANC	1299	2	0.00302237	7.055
263.3744856	ANC	1299	2	0.005062937	11.095
117.0553269	ANC	1299	2	0.00454592	9.115
52.02458975	ANC	1299	2	0.007125504	17.505
23.12203989	ANC	1299	2	0.007616695	29190
10.27646217	ANC	1299	2	0.018253453	35.185
4.567316521	ANC	1299	2	0.471616892	364.695
2.029918454	ANC	1299	2	311249.6388	26.385
0.90218598	ANC	1299	2	0.15671674	333.295
0.400971546	ANC	1299	2	0.278383687	647.42
0	ANC	1299	2	0.422689763	990.585
1333.333333	ANC	1977	2	0.012461207	22.15
592.5925926	ANC	1977	2	0.009178261	18.66
263.3744856	ANC	1977	2	0.27410701	590.415
117.0553269	ANC	1977	2	0.402504273	851.94
52.02458975	ANC	1977	2	0.350855761	754.02
23.12203989	ANC	1977	2	0.443843531	937.405
10.27646217	ANC	1977	2	0.402297707	871.445
4.567316521	ANC	1977	2	0.433447038	933.185
2.029918454	ANC	1977	2	0.4217516	914.59
0.90218598	ANC	1977	2	0.439603741	947.25
0.400971546	ANC	1977	2	0.4063157	882.99
0	ANC	1977	2	0.461499679	1022.2
1333.333333	ANC	2164	2	0.003504708	28703
592.5925926	ANC	2164	2	0.002504368	6
263.3744856	ANC	2164	2	0.005425193	20424
117.0553269	ANC	2164	2	0.002174026	21671
52.02458975	ANC	2164	2	0.007375516	45340
23.12203989	ANC	2164	2	0.005294616	11.885
10.27646217	ANC	2164	2	0.018541992	40.305
4.567316521	ANC	2164	2	0.006486655	45336
2.029918454	ANC	2164	2	0.204779203	260.63
0.90218598	ANC	2164	2	0.298329767	514.735
0.400971546	ANC	2164	2	0.325974053	572.165
0	ANC	2164	2	0.547542432	955.195
1333.333333	ANC	2792	2	0.004423973	9.635
592.5925926	ANC	2792	2	0.003062713	6.645
263.3744856	ANC	2792	2	0.004040494	33848
117.0553269	ANC	2792	2	0.003032561	7.425
52.02458975	ANC	2792	2	0.007973455	18.34
23.12203989	ANC	2792	2	0.00524626	12724
10.27646217	ANC	2792	2	0.013014945	29.285
4.567316521	ANC	2792	2	0.00733215	16.89
2.029918454	ANC	2792	2	0.005	12.305
0.90218598	ANC	2792	2	0.008024926	16.51
0.400971546	ANC	2792	2	0.009263199	19.885
0	ANC	2792	2	1.008052092	1357.665
2000	ANC	6	2	329.6264349	3.165
888.8888889	ANC	6	2	0.007244379	13.515
395.0617284	ANC	6	2	0.003096994	7.435
175.5829904	ANC	6	2	0.004	18142
78.03688462	ANC	6	2	0.004460804	46966
34.68305983	ANC	6	2	309828.7619	50.29
15.41469326	ANC	6	2	0.154135262	376.145
6.850974782	ANC	6	2	0.739097161	1452.125
3.044877681	ANC	6	2	0.336210464	804.655
1.353278969	ANC	6	2	0.446385659	1053.115
0.60145732	ANC	6	2	0.840172888	1895.935
0.267314364	ANC	6	2	0.725965323	1640.335
2000	ANC	403	2	0.002759603	45326
888.8888889	ANC	403	2	0.003058684	7.835
395.0617284	ANC	403	2	0.167167074	103.215
175.5829904	ANC	403	2	0.200219774	383.19
78.03688462	ANC	403	2	0.171897973	362.305
34.68305983	ANC	403	2	0.192175313	412.475
15.41469326	ANC	403	2	0.186363999	408.57
6.850974782	ANC	403	2	0.20612229	456.385
3.044877681	ANC	403	2	0.18711037	407.205
1.353278969	ANC	403	2	0.185374127	414.83
0.60145732	ANC	403	2	0.199252579	441.15
0.267314364	ANC	403	2	0.22321635	499.41
2000	ANC	1299	2	5161.921079	4.525
888.8888889	ANC	1299	2	0.0044116	41944
395.0617284	ANC	1299	2	0.003120565	7.845
175.5829904	ANC	1299	2	0.004385969	10.505
78.03688462	ANC	1299	2	0.007920105	18.82
34.68305983	ANC	1299	2	0.004873843	8.925
15.41469326	ANC	1299	2	0.010057305	20.79
6.850974782	ANC	1299	2	0.016453326	39.71
3.044877681	ANC	1299	2	0.008889442	18.17
1.353278969	ANC	1299	2	0.304394492	206.16
0.60145732	ANC	1299	2	0.220171557	517.44
0.267314364	ANC	1299	2	0.688527624	1504.325
1333.333333	ANC	97	1	0.003374667	7.135
592.5925926	ANC	97	1	0.00305313	7.075
263.3744856	ANC	97	1	0.006060509	14.75
117.0553269	ANC	97	1	0.004106475	14124
52.02458975	ANC	97	1	0.007156453	17.235
23.12203989	ANC	97	1	0.007290918	15.695
10.27646217	ANC	97	1	0.022689296	49.18
4.567316521	ANC	97	1	0.009045602	20.175
2.029918454	ANC	97	1	0.007018257	15.685
0.90218598	ANC	97	1	0.010540457	25.285
0.400971546	ANC	97	1	0.650630857	1265.295
0	ANC	97	1	1.027337528	1910.98
2000	ANC	1988	1	0.001285151	2.415
888.8888889	ANC	1988	1	0.006216421	26573
395.0617284	ANC	1988	1	0.002231038	5.155
175.5829904	ANC	1988	1	0.005334907	43070
78.03688462	ANC	1988	1	0.018673717	17.945
34.68305983	ANC	1988	1	0.00321644	7.045
15.41469326	ANC	1988	1	0.012145957	22.655
6.850974782	ANC	1988	1	0.01759017	33.28
3.044877681	ANC	1988	1	0.006883068	16.335
1.353278969	ANC	1988	1	0.315345046	255.27
0.60145732	ANC	1988	1	0.443481262	453.085
